"filename", "language", "C", "Makefile", "C++", "GLSL", "CSV", "Markdown", "JSON", "comment", "blank", "total"
"c:\AaravC-Projects\MinecraftRecreated\.VSCodeCounter\2025-12-14_15-09-43\details.md", "Markdown", 0, 0, 0, 0, 0, 21, 0, 0, 6, 27
"c:\AaravC-Projects\MinecraftRecreated\.VSCodeCounter\2025-12-14_15-09-43\diff-details.md", "Markdown", 0, 0, 0, 0, 0, 9, 0, 0, 6, 15
"c:\AaravC-Projects\MinecraftRecreated\.VSCodeCounter\2025-12-14_15-09-43\diff.csv", "CSV", 0, 0, 0, 0, 2, 0, 0, 0, 0, 2
"c:\AaravC-Projects\MinecraftRecreated\.VSCodeCounter\2025-12-14_15-09-43\diff.md", "Markdown", 0, 0, 0, 0, 0, 12, 0, 0, 7, 19
"c:\AaravC-Projects\MinecraftRecreated\.VSCodeCounter\2025-12-14_15-09-43\results.csv", "CSV", 0, 0, 0, 0, 14, 0, 0, 0, 0, 14
"c:\AaravC-Projects\MinecraftRecreated\.VSCodeCounter\2025-12-14_15-09-43\results.json", "JSON", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\AaravC-Projects\MinecraftRecreated\.VSCodeCounter\2025-12-14_15-09-43\results.md", "Markdown", 0, 0, 0, 0, 0, 17, 0, 0, 7, 24
"c:\AaravC-Projects\MinecraftRecreated\MakeFile", "Makefile", 0, 1, 0, 0, 0, 0, 0, 3, 4, 8
"c:\AaravC-Projects\MinecraftRecreated\chunkLoaderManager.c", "C", 447, 0, 0, 0, 0, 0, 0, 16, 104, 567
"c:\AaravC-Projects\MinecraftRecreated\chunkLoaderManager.h", "C++", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\AaravC-Projects\MinecraftRecreated\chunks.c", "C", 101, 0, 0, 0, 0, 0, 0, 42, 31, 174
"c:\AaravC-Projects\MinecraftRecreated\chunks.h", "C++", 0, 0, 13, 0, 0, 0, 0, 0, 3, 16
"c:\AaravC-Projects\MinecraftRecreated\input.c", "C", 165, 0, 0, 0, 0, 0, 0, 33, 23, 221
"c:\AaravC-Projects\MinecraftRecreated\input.h", "C++", 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\AaravC-Projects\MinecraftRecreated\main.c", "C", 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\AaravC-Projects\MinecraftRecreated\noise.c", "C", 160, 0, 0, 0, 0, 0, 0, 7, 42, 209
"c:\AaravC-Projects\MinecraftRecreated\noise.h", "C++", 0, 0, 34, 0, 0, 0, 0, 0, 3, 37
"c:\AaravC-Projects\MinecraftRecreated\raycast.c", "C", 87, 0, 0, 0, 0, 0, 0, 1, 22, 110
"c:\AaravC-Projects\MinecraftRecreated\raycast.h", "C++", 0, 0, 4, 0, 0, 0, 0, 0, 2, 6
"c:\AaravC-Projects\MinecraftRecreated\render.c", "C", 731, 0, 0, 0, 0, 0, 0, -30, 216, 917
"c:\AaravC-Projects\MinecraftRecreated\render.h", "C++", 0, 0, 43, 0, 0, 0, 0, 0, 5, 48
"c:\AaravC-Projects\MinecraftRecreated\shader.frag", "GLSL", 0, 0, 0, 14, 0, 0, 0, 0, 5, 19
"c:\AaravC-Projects\MinecraftRecreated\shader.vert", "GLSL", 0, 0, 0, 12, 0, 0, 0, 0, 4, 16
"Total", "-", 1694, 1, 98, 26, 16, 59, 1, 72, 491, 2458
