"filename", "language", "C", "Makefile", "C++", "GLSL", "Markdown", "CSV", "JSON", "comment", "blank", "total"
"c:\AaravC-Projects\MinecraftRecreated\.VSCodeCounter\2025-12-14_15-09-43\details.md", "Markdown", 0, 0, 0, 0, 21, 0, 0, 0, 6, 27
"c:\AaravC-Projects\MinecraftRecreated\.VSCodeCounter\2025-12-14_15-09-43\diff-details.md", "Markdown", 0, 0, 0, 0, 9, 0, 0, 0, 6, 15
"c:\AaravC-Projects\MinecraftRecreated\.VSCodeCounter\2025-12-14_15-09-43\diff.csv", "CSV", 0, 0, 0, 0, 0, 2, 0, 0, 0, 2
"c:\AaravC-Projects\MinecraftRecreated\.VSCodeCounter\2025-12-14_15-09-43\diff.md", "Markdown", 0, 0, 0, 0, 12, 0, 0, 0, 7, 19
"c:\AaravC-Projects\MinecraftRecreated\.VSCodeCounter\2025-12-14_15-09-43\results.csv", "CSV", 0, 0, 0, 0, 0, 14, 0, 0, 0, 14
"c:\AaravC-Projects\MinecraftRecreated\.VSCodeCounter\2025-12-14_15-09-43\results.json", "JSON", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\AaravC-Projects\MinecraftRecreated\.VSCodeCounter\2025-12-14_15-09-43\results.md", "Markdown", 0, 0, 0, 0, 17, 0, 0, 0, 7, 24
"c:\AaravC-Projects\MinecraftRecreated\MakeFile", "Makefile", 0, 11, 0, 0, 0, 0, 0, 3, 7, 21
"c:\AaravC-Projects\MinecraftRecreated\README.md", "Markdown", 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\AaravC-Projects\MinecraftRecreated\chunkLoaderManager.c", "C", 580, 0, 0, 0, 0, 0, 0, 32, 135, 747
"c:\AaravC-Projects\MinecraftRecreated\chunkLoaderManager.h", "C++", 0, 0, 50, 0, 0, 0, 0, 0, 12, 62
"c:\AaravC-Projects\MinecraftRecreated\chunks.c", "C", 764, 0, 0, 0, 0, 0, 0, 70, 130, 964
"c:\AaravC-Projects\MinecraftRecreated\chunks.h", "C++", 0, 0, 80, 0, 0, 0, 0, 1, 14, 95
"c:\AaravC-Projects\MinecraftRecreated\input.c", "C", 240, 0, 0, 0, 0, 0, 0, 36, 40, 316
"c:\AaravC-Projects\MinecraftRecreated\input.h", "C++", 0, 0, 23, 0, 0, 0, 0, 0, 4, 27
"c:\AaravC-Projects\MinecraftRecreated\main.c", "C", 34, 0, 0, 0, 0, 0, 0, 0, 9, 43
"c:\AaravC-Projects\MinecraftRecreated\noise.c", "C", 160, 0, 0, 0, 0, 0, 0, 7, 42, 209
"c:\AaravC-Projects\MinecraftRecreated\noise.h", "C++", 0, 0, 34, 0, 0, 0, 0, 0, 3, 37
"c:\AaravC-Projects\MinecraftRecreated\raycast.c", "C", 87, 0, 0, 0, 0, 0, 0, 1, 22, 110
"c:\AaravC-Projects\MinecraftRecreated\raycast.h", "C++", 0, 0, 4, 0, 0, 0, 0, 0, 2, 6
"c:\AaravC-Projects\MinecraftRecreated\render.c", "C", 1077, 0, 0, 0, 0, 0, 0, 48, 286, 1411
"c:\AaravC-Projects\MinecraftRecreated\render.h", "C++", 0, 0, 71, 0, 0, 0, 0, 0, 9, 80
"c:\AaravC-Projects\MinecraftRecreated\shader.frag", "GLSL", 0, 0, 0, 14, 0, 0, 0, 0, 5, 19
"c:\AaravC-Projects\MinecraftRecreated\shader.vert", "GLSL", 0, 0, 0, 12, 0, 0, 0, 0, 4, 16
"c:\AaravC-Projects\MinecraftRecreated\stb_image.h", "C++", 0, 0, 5833, 0, 0, 0, 0, 1294, 862, 7989
"Total", "-", 2942, 11, 6095, 26, 60, 16, 1, 1492, 1613, 12256
