"filename", "language", "C++", "C", "GLSL", "Markdown", "CSV", "JSON", "comment", "blank", "total"
"c:\AaravC-Projects\MinecraftRecreated\.VSCodeCounter\2026-04-07_22-18-39\details.md", "Markdown", 0, 0, 0, 34, 0, 0, 0, 6, 40
"c:\AaravC-Projects\MinecraftRecreated\.VSCodeCounter\2026-04-07_22-18-39\diff-details.md", "Markdown", 0, 0, 0, 32, 0, 0, 0, 6, 38
"c:\AaravC-Projects\MinecraftRecreated\.VSCodeCounter\2026-04-07_22-18-39\diff.csv", "CSV", 0, 0, 0, 0, 25, 0, 0, 0, 25
"c:\AaravC-Projects\MinecraftRecreated\.VSCodeCounter\2026-04-07_22-18-39\diff.md", "Markdown", 0, 0, 0, 23, 0, 0, 0, 7, 30
"c:\AaravC-Projects\MinecraftRecreated\.VSCodeCounter\2026-04-07_22-18-39\results.csv", "CSV", 0, 0, 0, 0, 27, 0, 0, 0, 27
"c:\AaravC-Projects\MinecraftRecreated\.VSCodeCounter\2026-04-07_22-18-39\results.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\AaravC-Projects\MinecraftRecreated\.VSCodeCounter\2026-04-07_22-18-39\results.md", "Markdown", 0, 0, 0, 23, 0, 0, 0, 7, 30
"c:\AaravC-Projects\MinecraftRecreated\README.md", "Markdown", 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\AaravC-Projects\MinecraftRecreated\chunkLoaderManager.c", "C", 0, 19, 0, 0, 0, 0, 0, 13, 32
"c:\AaravC-Projects\MinecraftRecreated\chunks.c", "C", 0, 170, 0, 0, 0, 0, -18, 62, 214
"c:\AaravC-Projects\MinecraftRecreated\chunks.h", "C++", 16, 0, 0, 0, 0, 0, 0, 1, 17
"c:\AaravC-Projects\MinecraftRecreated\input.c", "C", 0, 113, 0, 0, 0, 0, -27, 0, 86
"c:\AaravC-Projects\MinecraftRecreated\input.h", "C++", 4, 0, 0, 0, 0, 0, 0, 0, 4
"c:\AaravC-Projects\MinecraftRecreated\noise.c", "C", 0, 0, 0, 0, 0, 0, -7, 5, -2
"c:\AaravC-Projects\MinecraftRecreated\player.c", "C", 0, 108, 0, 0, 0, 0, 0, 31, 139
"c:\AaravC-Projects\MinecraftRecreated\player.h", "C++", 19, 0, 0, 0, 0, 0, 0, 3, 22
"c:\AaravC-Projects\MinecraftRecreated\raycast.c", "C", 0, 3, 0, 0, 0, 0, 0, 3, 6
"c:\AaravC-Projects\MinecraftRecreated\render.c", "C", 0, 337, 0, 0, 0, 0, 10, 9, 356
"c:\AaravC-Projects\MinecraftRecreated\render.h", "C++", -8, 0, 0, 0, 0, 0, 0, -2, -10
"c:\AaravC-Projects\MinecraftRecreated\shader.frag", "GLSL", 0, 0, 4, 0, 0, 0, 0, 1, 5
"c:\AaravC-Projects\MinecraftRecreated\vectors.c", "C", 0, 18, 0, 0, 0, 0, 0, 3, 21
"c:\AaravC-Projects\MinecraftRecreated\vectors.h", "C++", 13, 0, 0, 0, 0, 0, 0, 3, 16
"Total", "-", 44, 768, 4, 113, 52, 1, -42, 159, 1099
