"filename", "language", "GLSL", "C++", "C", "Markdown", "Makefile", "CSV", "JSON", "comment", "blank", "total"
"c:\AaravC-Projects\MinecraftRecreated\.VSCodeCounter\2025-12-14_15-09-43\details.md", "Markdown", 0, 0, 0, 21, 0, 0, 0, 0, 6, 27
"c:\AaravC-Projects\MinecraftRecreated\.VSCodeCounter\2025-12-14_15-09-43\diff-details.md", "Markdown", 0, 0, 0, 9, 0, 0, 0, 0, 6, 15
"c:\AaravC-Projects\MinecraftRecreated\.VSCodeCounter\2025-12-14_15-09-43\diff.csv", "CSV", 0, 0, 0, 0, 0, 2, 0, 0, 0, 2
"c:\AaravC-Projects\MinecraftRecreated\.VSCodeCounter\2025-12-14_15-09-43\diff.md", "Markdown", 0, 0, 0, 12, 0, 0, 0, 0, 7, 19
"c:\AaravC-Projects\MinecraftRecreated\.VSCodeCounter\2025-12-14_15-09-43\results.csv", "CSV", 0, 0, 0, 0, 0, 14, 0, 0, 0, 14
"c:\AaravC-Projects\MinecraftRecreated\.VSCodeCounter\2025-12-14_15-09-43\results.json", "JSON", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\AaravC-Projects\MinecraftRecreated\.VSCodeCounter\2025-12-14_15-09-43\results.md", "Markdown", 0, 0, 0, 17, 0, 0, 0, 0, 7, 24
"c:\AaravC-Projects\MinecraftRecreated\.VSCodeCounter\2026-04-07_22-18-39\details.md", "Markdown", 0, 0, 0, 34, 0, 0, 0, 0, 6, 40
"c:\AaravC-Projects\MinecraftRecreated\.VSCodeCounter\2026-04-07_22-18-39\diff-details.md", "Markdown", 0, 0, 0, 32, 0, 0, 0, 0, 6, 38
"c:\AaravC-Projects\MinecraftRecreated\.VSCodeCounter\2026-04-07_22-18-39\diff.csv", "CSV", 0, 0, 0, 0, 0, 25, 0, 0, 0, 25
"c:\AaravC-Projects\MinecraftRecreated\.VSCodeCounter\2026-04-07_22-18-39\diff.md", "Markdown", 0, 0, 0, 23, 0, 0, 0, 0, 7, 30
"c:\AaravC-Projects\MinecraftRecreated\.VSCodeCounter\2026-04-07_22-18-39\results.csv", "CSV", 0, 0, 0, 0, 0, 27, 0, 0, 0, 27
"c:\AaravC-Projects\MinecraftRecreated\.VSCodeCounter\2026-04-07_22-18-39\results.json", "JSON", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\AaravC-Projects\MinecraftRecreated\.VSCodeCounter\2026-04-07_22-18-39\results.md", "Markdown", 0, 0, 0, 23, 0, 0, 0, 0, 7, 30
"c:\AaravC-Projects\MinecraftRecreated\MakeFile", "Makefile", 0, 0, 0, 0, 11, 0, 0, 3, 7, 21
"c:\AaravC-Projects\MinecraftRecreated\README.md", "Markdown", 0, 0, 0, 2, 0, 0, 0, 0, 2, 4
"c:\AaravC-Projects\MinecraftRecreated\chunkLoaderManager.c", "C", 0, 0, 599, 0, 0, 0, 0, 32, 148, 779
"c:\AaravC-Projects\MinecraftRecreated\chunkLoaderManager.h", "C++", 0, 50, 0, 0, 0, 0, 0, 0, 12, 62
"c:\AaravC-Projects\MinecraftRecreated\chunks.c", "C", 0, 0, 934, 0, 0, 0, 0, 52, 192, 1178
"c:\AaravC-Projects\MinecraftRecreated\chunks.h", "C++", 0, 96, 0, 0, 0, 0, 0, 1, 15, 112
"c:\AaravC-Projects\MinecraftRecreated\input.c", "C", 0, 0, 353, 0, 0, 0, 0, 9, 40, 402
"c:\AaravC-Projects\MinecraftRecreated\input.h", "C++", 0, 27, 0, 0, 0, 0, 0, 0, 4, 31
"c:\AaravC-Projects\MinecraftRecreated\main.c", "C", 0, 0, 34, 0, 0, 0, 0, 0, 9, 43
"c:\AaravC-Projects\MinecraftRecreated\noise.c", "C", 0, 0, 160, 0, 0, 0, 0, 0, 47, 207
"c:\AaravC-Projects\MinecraftRecreated\noise.h", "C++", 0, 34, 0, 0, 0, 0, 0, 0, 3, 37
"c:\AaravC-Projects\MinecraftRecreated\player.c", "C", 0, 0, 108, 0, 0, 0, 0, 0, 31, 139
"c:\AaravC-Projects\MinecraftRecreated\player.h", "C++", 0, 19, 0, 0, 0, 0, 0, 0, 3, 22
"c:\AaravC-Projects\MinecraftRecreated\raycast.c", "C", 0, 0, 90, 0, 0, 0, 0, 1, 25, 116
"c:\AaravC-Projects\MinecraftRecreated\raycast.h", "C++", 0, 4, 0, 0, 0, 0, 0, 0, 2, 6
"c:\AaravC-Projects\MinecraftRecreated\render.c", "C", 0, 0, 1414, 0, 0, 0, 0, 58, 295, 1767
"c:\AaravC-Projects\MinecraftRecreated\render.h", "C++", 0, 63, 0, 0, 0, 0, 0, 0, 7, 70
"c:\AaravC-Projects\MinecraftRecreated\shader.frag", "GLSL", 18, 0, 0, 0, 0, 0, 0, 0, 6, 24
"c:\AaravC-Projects\MinecraftRecreated\shader.vert", "GLSL", 12, 0, 0, 0, 0, 0, 0, 0, 4, 16
"c:\AaravC-Projects\MinecraftRecreated\stb_image.h", "C++", 0, 5833, 0, 0, 0, 0, 0, 1294, 862, 7989
"c:\AaravC-Projects\MinecraftRecreated\vectors.c", "C", 0, 0, 18, 0, 0, 0, 0, 0, 3, 21
"c:\AaravC-Projects\MinecraftRecreated\vectors.h", "C++", 0, 13, 0, 0, 0, 0, 0, 0, 3, 16
"Total", "-", 30, 6139, 3710, 173, 11, 68, 2, 1450, 1772, 13355
