"filename", "language", "C++", "C", "Makefile", "GLSL", "Markdown", "JSON", "CSV", "comment", "blank", "total"
"c:\AaravC-Projects\MinecraftRecreated\.VSCodeCounter\2025-12-14_15-09-43\details.md", "Markdown", 0, 0, 0, 0, 21, 0, 0, 0, 6, 27
"c:\AaravC-Projects\MinecraftRecreated\.VSCodeCounter\2025-12-14_15-09-43\diff-details.md", "Markdown", 0, 0, 0, 0, 9, 0, 0, 0, 6, 15
"c:\AaravC-Projects\MinecraftRecreated\.VSCodeCounter\2025-12-14_15-09-43\diff.csv", "CSV", 0, 0, 0, 0, 0, 0, 2, 0, 0, 2
"c:\AaravC-Projects\MinecraftRecreated\.VSCodeCounter\2025-12-14_15-09-43\diff.md", "Markdown", 0, 0, 0, 0, 12, 0, 0, 0, 7, 19
"c:\AaravC-Projects\MinecraftRecreated\.VSCodeCounter\2025-12-14_15-09-43\results.csv", "CSV", 0, 0, 0, 0, 0, 0, 14, 0, 0, 14
"c:\AaravC-Projects\MinecraftRecreated\.VSCodeCounter\2025-12-14_15-09-43\results.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\AaravC-Projects\MinecraftRecreated\.VSCodeCounter\2025-12-14_15-09-43\results.md", "Markdown", 0, 0, 0, 0, 17, 0, 0, 0, 7, 24
"c:\AaravC-Projects\MinecraftRecreated\.VSCodeCounter\2026-04-07_22-18-39\details.md", "Markdown", 0, 0, 0, 0, 34, 0, 0, 0, 6, 40
"c:\AaravC-Projects\MinecraftRecreated\.VSCodeCounter\2026-04-07_22-18-39\diff-details.md", "Markdown", 0, 0, 0, 0, 32, 0, 0, 0, 6, 38
"c:\AaravC-Projects\MinecraftRecreated\.VSCodeCounter\2026-04-07_22-18-39\diff.csv", "CSV", 0, 0, 0, 0, 0, 0, 25, 0, 0, 25
"c:\AaravC-Projects\MinecraftRecreated\.VSCodeCounter\2026-04-07_22-18-39\diff.md", "Markdown", 0, 0, 0, 0, 23, 0, 0, 0, 7, 30
"c:\AaravC-Projects\MinecraftRecreated\.VSCodeCounter\2026-04-07_22-18-39\results.csv", "CSV", 0, 0, 0, 0, 0, 0, 27, 0, 0, 27
"c:\AaravC-Projects\MinecraftRecreated\.VSCodeCounter\2026-04-07_22-18-39\results.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\AaravC-Projects\MinecraftRecreated\.VSCodeCounter\2026-04-07_22-18-39\results.md", "Markdown", 0, 0, 0, 0, 23, 0, 0, 0, 7, 30
"c:\AaravC-Projects\MinecraftRecreated\.VSCodeCounter\2026-05-15_00-41-39\details.md", "Markdown", 0, 0, 0, 0, 45, 0, 0, 0, 6, 51
"c:\AaravC-Projects\MinecraftRecreated\.VSCodeCounter\2026-05-15_00-41-39\diff-details.md", "Markdown", 0, 0, 0, 0, 31, 0, 0, 0, 6, 37
"c:\AaravC-Projects\MinecraftRecreated\.VSCodeCounter\2026-05-15_00-41-39\diff.csv", "CSV", 0, 0, 0, 0, 0, 0, 24, 0, 0, 24
"c:\AaravC-Projects\MinecraftRecreated\.VSCodeCounter\2026-05-15_00-41-39\diff.md", "Markdown", 0, 0, 0, 0, 22, 0, 0, 0, 7, 29
"c:\AaravC-Projects\MinecraftRecreated\.VSCodeCounter\2026-05-15_00-41-39\results.csv", "CSV", 0, 0, 0, 0, 0, 0, 38, 0, 0, 38
"c:\AaravC-Projects\MinecraftRecreated\.VSCodeCounter\2026-05-15_00-41-39\results.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\AaravC-Projects\MinecraftRecreated\.VSCodeCounter\2026-05-15_00-41-39\results.md", "Markdown", 0, 0, 0, 0, 24, 0, 0, 0, 7, 31
"c:\AaravC-Projects\MinecraftRecreated\MakeFile", "Makefile", 0, 0, 11, 0, 0, 0, 0, 3, 7, 21
"c:\AaravC-Projects\MinecraftRecreated\README.md", "Markdown", 0, 0, 0, 0, 2, 0, 0, 0, 2, 4
"c:\AaravC-Projects\MinecraftRecreated\chunkLoaderManager.c", "C", 0, 746, 0, 0, 0, 0, 0, 33, 128, 907
"c:\AaravC-Projects\MinecraftRecreated\chunkLoaderManager.h", "C++", 60, 0, 0, 0, 0, 0, 0, 0, 13, 73
"c:\AaravC-Projects\MinecraftRecreated\chunks.c", "C", 0, 1073, 0, 0, 0, 0, 0, 55, 215, 1343
"c:\AaravC-Projects\MinecraftRecreated\chunks.h", "C++", 128, 0, 0, 0, 0, 0, 0, 2, 18, 148
"c:\AaravC-Projects\MinecraftRecreated\input.c", "C", 0, 368, 0, 0, 0, 0, 0, 9, 43, 420
"c:\AaravC-Projects\MinecraftRecreated\input.h", "C++", 27, 0, 0, 0, 0, 0, 0, 0, 4, 31
"c:\AaravC-Projects\MinecraftRecreated\main.c", "C", 0, 36, 0, 0, 0, 0, 0, 0, 6, 42
"c:\AaravC-Projects\MinecraftRecreated\noise.c", "C", 0, 160, 0, 0, 0, 0, 0, 0, 47, 207
"c:\AaravC-Projects\MinecraftRecreated\noise.h", "C++", 34, 0, 0, 0, 0, 0, 0, 0, 3, 37
"c:\AaravC-Projects\MinecraftRecreated\player.c", "C", 0, 127, 0, 0, 0, 0, 0, 0, 40, 167
"c:\AaravC-Projects\MinecraftRecreated\player.h", "C++", 22, 0, 0, 0, 0, 0, 0, 0, 3, 25
"c:\AaravC-Projects\MinecraftRecreated\raycast.c", "C", 0, 90, 0, 0, 0, 0, 0, 1, 25, 116
"c:\AaravC-Projects\MinecraftRecreated\raycast.h", "C++", 4, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\AaravC-Projects\MinecraftRecreated\render.c", "C", 0, 1598, 0, 0, 0, 0, 0, 68, 346, 2012
"c:\AaravC-Projects\MinecraftRecreated\render.h", "C++", 78, 0, 0, 0, 0, 0, 0, 0, 6, 84
"c:\AaravC-Projects\MinecraftRecreated\shader.frag", "GLSL", 0, 0, 0, 105, 0, 0, 0, 3, 33, 141
"c:\AaravC-Projects\MinecraftRecreated\shader.vert", "GLSL", 0, 0, 0, 20, 0, 0, 0, 0, 3, 23
"c:\AaravC-Projects\MinecraftRecreated\stb_image.h", "C++", 5833, 0, 0, 0, 0, 0, 0, 1294, 862, 7989
"c:\AaravC-Projects\MinecraftRecreated\vectors.c", "C", 0, 18, 0, 0, 0, 0, 0, 0, 3, 21
"c:\AaravC-Projects\MinecraftRecreated\vectors.h", "C++", 13, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\AaravC-Projects\MinecraftRecreated\worldDiskStorage.c", "C", 0, 45, 0, 0, 0, 0, 0, 2, 9, 56
"c:\AaravC-Projects\MinecraftRecreated\worldDiskStorage.h", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"Total", "-", 6206, 4261, 11, 125, 295, 3, 130, 1470, 1901, 14402
